dt_reference;id_city_origin;id_city_destination;freight_cost;distance
21/03/2025;5102637;3548500;480.0;2184.15
28/03/2025;5102637;3548500;457.5;2184.15
04/04/2025;5102637;3548500;425.0;2184.15
11/04/2025;5102637;3548500;415.0;2184.15
18/04/2025;5102637;3548500;490.0;2184.15
25/04/2025;5102637;3548500;485.0;2184.15
02/05/2025;5102637;3548500;475.0;2184.15
09/05/2025;5102637;3548500;540.0;2184.15
16/05/2025;5102637;3548500;550.0;2184.15
23/05/2025;5102637;3548500;505.0;2184.15
30/05/2025;5102637;3548500;545.0;2184.15
06/06/2025;5102637;3548500;570.0;2184.15
13/06/2025;5102637;3548500;580.0;2184.15
20/06/2025;5102637;3548500;510.0;2184.15
27/06/2025;5102637;3548500;500.0;2184.15
04/07/2025;5102637;3548500;445.0;2184.15
11/07/2025;5102637;3548500;410.0;2184.15
19/07/2024;5107040;3548500;290.0;1699.79
26/07/2024;5107040;3548500;402.5;1699.79
02/08/2024;5107040;3548500;353.0;1699.79
09/08/2024;5107040;3548500;380.0;1699.79
16/08/2024;5107040;3548500;330.0;1699.79
23/08/2024;5107040;3548500;375.0;1699.79
30/08/2024;5107040;3548500;362.5;1699.79
06/09/2024;5107040;3548500;355.0;1699.79
13/09/2024;5107040;3548500;380.0;1699.79
20/09/2024;5107040;3548500;412.5;1699.79
27/09/2024;5107040;3548500;332.5;1699.79
04/10/2024;5107040;3548500;425.0;1699.79
11/10/2024;5107040;3548500;382.5;1699.79
18/10/2024;5107040;3548500;373.33;1699.79
25/10/2024;5107040;3548500;389.75;1699.79
01/11/2024;5107040;3548500;421.67;1699.79
08/11/2024;5107040;3548500;400.0;1699.79
15/11/2024;5107040;3548500;440.0;1699.79
22/11/2024;5107040;3548500;445.0;1699.79
29/11/2024;5107040;3548500;445.5;1699.79
06/12/2024;5107040;3548500;431.25;1699.79
13/12/2024;5107040;3548500;466.25;1699.79
20/12/2024;5107040;3548500;472.34;1699.79
27/12/2024;5107040;3548500;416.67;1699.79
03/01/2025;5107040;3548500;410.0;1699.79
10/01/2025;5107040;3548500;391.25;1699.79
17/01/2025;5107040;3548500;435.0;1699.79
24/01/2025;5107040;3548500;444.0;1699.79
31/01/2025;5107040;3548500;442.0;1699.79
07/02/2025;5107040;3548500;412.5;1699.79
14/02/2025;5107040;3548500;487.33;1699.79
21/02/2025;5107040;3548500;385.0;1699.79
28/02/2025;5107040;3548500;458.33;1699.79
07/03/2025;5107040;3548500;457.67;1699.79
14/03/2025;5107040;3548500;461.0;1699.79
21/03/2025;5107040;3548500;452.0;1699.79
28/03/2025;5107040;3548500;290.0;1699.79
04/04/2025;5107040;3548500;402.5;1699.79
11/04/2025;5107040;3548500;353.0;1699.79
18/04/2025;5107040;3548500;380.0;1699.79
25/04/2025;5107040;3548500;330.0;1699.79
02/05/2025;5107040;3548500;375.0;1699.79
09/05/2025;5107040;3548500;362.5;1699.79
16/05/2025;5107040;3548500;355.0;1699.79
23/05/2025;5107040;3548500;380.0;1699.79
30/05/2025;5107040;3548500;412.5;1699.79
06/06/2025;5107040;3548500;332.5;1699.79
13/06/2025;5107040;3548500;425.0;1699.79
20/06/2025;5107040;3548500;382.5;1699.79
27/06/2025;5107040;3548500;373.33;1699.79
04/07/2025;5107040;3548500;389.75;1699.79
11/07/2025;5107040;3548500;421.67;1699.79
19/07/2024;5107875;3548500;400.0;2354.1
26/07/2024;5107875;3548500;415.0;2354.1
02/08/2024;5107875;3548500;460.0;2354.1
09/08/2024;5107875;3548500;452.0;2354.1
16/08/2024;5107875;3548500;452.5;2354.1
23/08/2024;5107875;3548500;430.0;2354.1
30/08/2024;5107875;3548500;453.0;2354.1
06/09/2024;5107875;3548500;442.5;2354.1
13/09/2024;5107875;3548500;437.5;2354.1
20/09/2024;5107875;3548500;461.5;2354.1
27/09/2024;5107875;3548500;477.5;2354.1
04/10/2024;5107875;3548500;440.0;2354.1
11/10/2024;5107875;3548500;490.0;2354.1
18/10/2024;5107875;3548500;452.5;2354.1
25/10/2024;5107875;3548500;475.0;2354.1
01/11/2024;5107875;3548500;485.0;2354.1
08/11/2024;5107875;3548500;550.0;2354.1
15/11/2024;5107875;3548500;560.0;2354.1
22/11/2024;5107875;3548500;510.0;2354.1
29/11/2024;5107875;3548500;555.0;2354.1
06/12/2024;5107875;3548500;512.25;2354.1
13/12/2024;5107875;3548500;558.0;2354.1
20/12/2024;5107875;3548500;545.84;2354.1
27/12/2024;5107875;3548500;516.25;2354.1
03/01/2025;5107875;3548500;512.5;2354.1
10/01/2025;5107875;3548500;470.0;2354.1
17/01/2025;5107875;3548500;491.25;2354.1
24/01/2025;5107875;3548500;535.0;2354.1
31/01/2025;5107875;3548500;420.0;2354.1
07/02/2025;5107875;3548500;557.5;2354.1
14/02/2025;5107875;3548500;498.5;2354.1
21/02/2025;5107875;3548500;498.5;2354.1
28/02/2025;5107875;3548500;572.5;2354.1
07/03/2025;5107875;3548500;410.0;2354.1
14/03/2025;5107875;3548500;547.5;2354.1
21/03/2025;5107875;3548500;480.0;2354.1
28/03/2025;5107875;3548500;400.0;2354.1
04/04/2025;5107875;3548500;415.0;2354.1
11/04/2025;5107875;3548500;460.0;2354.1
18/04/2025;5107875;3548500;452.0;2354.1
25/04/2025;5107875;3548500;452.5;2354.1
02/05/2025;5107875;3548500;430.0;2354.1
09/05/2025;5107875;3548500;453.0;2354.1
16/05/2025;5107875;3548500;442.5;2354.1
23/05/2025;5107875;3548500;437.5;2354.1
30/05/2025;5107875;3548500;461.5;2354.1
06/06/2025;5107875;3548500;477.5;2354.1
13/06/2025;5107875;3548500;440.0;2354.1
20/06/2025;5107875;3548500;490.0;2354.1
27/06/2025;5107875;3548500;452.5;2354.1
04/07/2025;5107875;3548500;475.0;2354.1
11/07/2025;5107875;3548500;485.0;2354.1
19/07/2024;5105259;3548500;385.0;2116.76
26/07/2024;5105259;3548500;405.0;2116.76
02/08/2024;5105259;3548500;455.0;2116.76
09/08/2024;5105259;3548500;535.0;2116.76
16/08/2024;5105259;3548500;425.0;2116.76
23/08/2024;5105259;3548500;435.0;2116.76
30/08/2024;5105259;3548500;450.0;2116.76
06/09/2024;5105259;3548500;470.0;2116.76
13/09/2024;5105259;3548500;475.0;2116.76
20/09/2024;5105259;3548500;457.5;2116.76
27/09/2024;5105259;3548500;485.0;2116.76
04/10/2024;5105259;3548500;545.0;2116.76
11/10/2024;5105259;3548500;560.0;2116.76
18/10/2024;5105259;3548500;555.0;2116.76
25/10/2024;5105259;3548500;520.0;2116.76
01/11/2024;5105259;3548500;565.0;2116.76
08/11/2024;5105259;3548500;562.5;2116.76
15/11/2024;5105259;3548500;540.0;2116.76
22/11/2024;5105259;3548500;530.0;2116.76
29/11/2024;5105259;3548500;515.0;2116.76
06/12/2024;5105259;3548500;495.0;2116.76
13/12/2024;5105259;3548500;465.0;2116.76
20/12/2024;5105259;3548500;492.5;2116.76
27/12/2024;5105259;3548500;527.0;2116.76
03/01/2025;5105259;3548500;502.0;2116.76
10/01/2025;5105259;3548500;395.0;2116.76
17/01/2025;5105259;3548500;528.0;2116.76
24/01/2025;5105259;3548500;547.5;2116.76
31/01/2025;5105259;3548500;457.0;2116.76
07/02/2025;5105259;3548500;385.0;2116.76
14/02/2025;5105259;3548500;405.0;2116.76
21/02/2025;5105259;3548500;455.0;2116.76
28/02/2025;5105259;3548500;535.0;2116.76
07/03/2025;5105259;3548500;425.0;2116.76
14/03/2025;5105259;3548500;435.0;2116.76
21/03/2025;5105259;3548500;450.0;2116.76
28/03/2025;5105259;3548500;470.0;2116.76
04/04/2025;5105259;3548500;475.0;2116.76
11/04/2025;5105259;3548500;457.5;2116.76
18/04/2025;5105259;3548500;485.0;2116.76
25/04/2025;5105259;3548500;545.0;2116.76
02/05/2025;5105259;3548500;560.0;2116.76
09/05/2025;5105259;3548500;555.0;2116.76
16/05/2025;5105259;3548500;520.0;2116.76
23/05/2025;5105259;3548500;565.0;2116.76
30/05/2025;5105259;3548500;562.5;2116.76
06/06/2025;5105259;3548500;540.0;2116.76
13/06/2025;5105259;3548500;530.0;2116.76
20/06/2025;5105259;3548500;515.0;2116.76
27/06/2025;5105259;3548500;495.0;2116.76
04/07/2025;5105259;3548500;465.0;2116.76
11/07/2025;5105259;3548500;492.5;2116.76
19/07/2024;5107065;3548500;340.0;1810.62
26/07/2024;5107065;3548500;382.5;1810.62
02/08/2024;5107065;3548500;335.0;1810.62
09/08/2024;5107065;3548500;380.0;1810.62
16/08/2024;5107065;3548500;399.67;1810.62
23/08/2024;5107065;3548500;454.0;1810.62
30/08/2024;5107065;3548500;430.0;1810.62
06/09/2024;5107065;3548500;531.5;1810.62
13/09/2024;5107065;3548500;436.66;1810.62
20/09/2024;5107065;3548500;510.0;1810.62
27/09/2024;5107065;3548500;452.5;1810.62
04/10/2024;5107065;3548500;415.0;1810.62
11/10/2024;5107065;3548500;443.75;1810.62
18/10/2024;5107065;3548500;450.0;1810.62
25/10/2024;5107065;3548500;434.5;1810.62
01/11/2024;5107065;3548500;467.0;1810.62
08/11/2024;5107065;3548500;460.0;1810.62
15/11/2024;5107065;3548500;485.0;1810.62
22/11/2024;5107065;3548500;511.0;1810.62
29/11/2024;5107065;3548500;520.0;1810.62
06/12/2024;5107065;3548500;493.5;1810.62
13/12/2024;5107065;3548500;507.08;1810.62
20/12/2024;5107065;3548500;535.0;1810.62
27/12/2024;5107065;3548500;540.84;1810.62
03/01/2025;5107065;3548500;518.0;1810.62
10/01/2025;5107065;3548500;477.5;1810.62
17/01/2025;5107065;3548500;420.0;1810.62
24/01/2025;5107065;3548500;505.0;1810.62
31/01/2025;5107065;3548500;480.0;1810.62
07/02/2025;5107065;3548500;440.0;1810.62
14/02/2025;5107065;3548500;452.33;1810.62
21/02/2025;5107065;3548500;457.5;1810.62
28/02/2025;5107065;3548500;424.34;1810.62
07/03/2025;5107065;3548500;444.75;1810.62
14/03/2025;5107065;3548500;470.0;1810.62
21/03/2025;5107065;3548500;340.0;1810.62
28/03/2025;5107065;3548500;382.5;1810.62
04/04/2025;5107065;3548500;335.0;1810.62
11/04/2025;5107065;3548500;380.0;1810.62
18/04/2025;5107065;3548500;399.67;1810.62
25/04/2025;5107065;3548500;454.0;1810.62
02/05/2025;5107065;3548500;430.0;1810.62
09/05/2025;5107065;3548500;531.5;1810.62
16/05/2025;5107065;3548500;436.66;1810.62
23/05/2025;5107065;3548500;510.0;1810.62
30/05/2025;5107065;3548500;452.5;1810.62
06/06/2025;5107065;3548500;415.0;1810.62
13/06/2025;5107065;3548500;443.75;1810.62
20/06/2025;5107065;3548500;450.0;1810.62
27/06/2025;5107065;3548500;434.5;1810.62
04/07/2025;5107065;3548500;467.0;1810.62
11/07/2025;5107065;3548500;460.0;1810.62
19/07/2024;5107909;3548500;400.0;2261.33
26/07/2024;5107909;3548500;420.0;2261.33
02/08/2024;5107909;3548500;440.0;2261.33
09/08/2024;5107909;3548500;450.0;2261.33
16/08/2024;5107909;3548500;465.0;2261.33
23/08/2024;5107909;3548500;485.0;2261.33
30/08/2024;5107909;3548500;470.0;2261.33
06/09/2024;5107909;3548500;490.0;2261.33
13/09/2024;5107909;3548500;430.0;2261.33
20/09/2024;5107909;3548500;490.0;2261.33
27/09/2024;5107909;3548500;500.0;2261.33
04/10/2024;5107909;3548500;560.0;2261.33
11/10/2024;5107909;3548500;560.0;2261.33
18/10/2024;5107909;3548500;575.0;2261.33
25/10/2024;5107909;3548500;580.0;2261.33
01/11/2024;5107909;3548500;550.0;2261.33
08/11/2024;5107909;3548500;530.0;2261.33
15/11/2024;5107909;3548500;510.0;2261.33
22/11/2024;5107909;3548500;480.0;2261.33
29/11/2024;5107909;3548500;475.0;2261.33
06/12/2024;5107909;3548500;410.0;2261.33
13/12/2024;5107909;3548500;546.0;2261.33
20/12/2024;5107909;3548500;400.0;2261.33
27/12/2024;5107909;3548500;420.0;2261.33
03/01/2025;5107909;3548500;440.0;2261.33
10/01/2025;5107909;3548500;450.0;2261.33
17/01/2025;5107909;3548500;465.0;2261.33
24/01/2025;5107909;3548500;485.0;2261.33
31/01/2025;5107909;3548500;470.0;2261.33
07/02/2025;5107909;3548500;490.0;2261.33
14/02/2025;5107909;3548500;430.0;2261.33
21/02/2025;5107909;3548500;490.0;2261.33
28/02/2025;5107909;3548500;500.0;2261.33
07/03/2025;5107909;3548500;560.0;2261.33
14/03/2025;5107909;3548500;560.0;2261.33
21/03/2025;5107909;3548500;575.0;2261.33
28/03/2025;5107909;3548500;580.0;2261.33
04/04/2025;5107909;3548500;550.0;2261.33
11/04/2025;5107909;3548500;530.0;2261.33
18/04/2025;5107909;3548500;510.0;2261.33
25/04/2025;5107909;3548500;480.0;2261.33
02/05/2025;5107909;3548500;475.0;2261.33
09/05/2025;5107909;3548500;410.0;2261.33
16/05/2025;5107909;3548500;546.0;2261.33
23/05/2025;5107909;3548500;400.0;2261.33
30/05/2025;5107909;3548500;420.0;2261.33
06/06/2025;5107909;3548500;440.0;2261.33
13/06/2025;5107909;3548500;450.0;2261.33
20/06/2025;5107909;3548500;465.0;2261.33
27/06/2025;5107909;3548500;485.0;2261.33
04/07/2025;5107909;3548500;470.0;2261.33
11/07/2025;5107909;3548500;490.0;2261.33
19/07/2024;5100201;3548500;340.0;1591.0
26/07/2024;5100201;3548500;300.0;1591.0
02/08/2024;5100201;3548500;360.0;1591.0
09/08/2024;5100201;3548500;357.5;1591.0
16/08/2024;5100201;3548500;372.5;1591.0
23/08/2024;5100201;3548500;462.5;1591.0
30/08/2024;5100201;3548500;375.0;1591.0
06/09/2024;5100201;3548500;412.5;1591.0
13/09/2024;5100201;3548500;490.0;1591.0
20/09/2024;5100201;3548500;470.0;1591.0
27/09/2024;5100201;3548500;385.0;1591.0
04/10/2024;5100201;3548500;450.0;1591.0
11/10/2024;5100201;3548500;445.0;1591.0
18/10/2024;5100201;3548500;465.0;1591.0
25/10/2024;5100201;3548500;426.25;1591.0
01/11/2024;5100201;3548500;460.0;1591.0
08/11/2024;5100201;3548500;425.0;1591.0
15/11/2024;5100201;3548500;451.25;1591.0
22/11/2024;5100201;3548500;458.75;1591.0
29/11/2024;5100201;3548500;435.0;1591.0
06/12/2024;5100201;3548500;530.0;1591.0
13/12/2024;5100201;3548500;480.0;1591.0
20/12/2024;5100201;3548500;440.0;1591.0
27/12/2024;5100201;3548500;390.0;1591.0
03/01/2025;5100201;3548500;445.75;1591.0
10/01/2025;5100201;3548500;471.5;1591.0
17/01/2025;5100201;3548500;420.0;1591.0
24/01/2025;5100201;3548500;410.0;1591.0
31/01/2025;5100201;3548500;340.0;1591.0
07/02/2025;5100201;3548500;300.0;1591.0
14/02/2025;5100201;3548500;360.0;1591.0
21/02/2025;5100201;3548500;357.5;1591.0
28/02/2025;5100201;3548500;372.5;1591.0
07/03/2025;5100201;3548500;462.5;1591.0
14/03/2025;5100201;3548500;375.0;1591.0
21/03/2025;5100201;3548500;412.5;1591.0
28/03/2025;5100201;3548500;490.0;1591.0
04/04/2025;5100201;3548500;470.0;1591.0
11/04/2025;5100201;3548500;385.0;1591.0
18/04/2025;5100201;3548500;450.0;1591.0
25/04/2025;5100201;3548500;445.0;1591.0
